sho_gi,che_gi,wai_gi,nav_gi
95,83,66.5,79
99.5,78.5,61.5,70.5
88,75,61.2,66.5
97,86.5,78,91
103.3,91,70.5,80.5
93.5,79.5,66.5,78.5
93.3,77,58,64
94.5,88,74.5,87
98.6,85,73.5,92
115.5,98.8,90.5,103.5
97.9,79,66.5,74
97.7,77.6,61,71.8
100.5,85,69.5,81.5
88.7,76.7,62,74.1
96.6,76.7,63.4,69
92,82,71,69
90,79,59,79
104,89.5,74,92
90.1,73.5,60.5,68.3
104,90,75,80.5
91,80,65,78.3
111.4,94.5,82.2,94.2
96.2,83.8,70.2,82.5
117.1,95.2,85,91.2
101.5,91,75,85
95.1,80,63,76.5
97.1,81.7,70,81.5
101.4,89.6,72.6,86.3
103.7,90.9,78.7,83.5
89.2,78.5,61,73
86,78,64.2,69.8
98.1,80.2,63.1,78.9
114,99,85,92.5
95,80,66,78
87,75.5,65,76.7
100.8,82.6,63.2,70.5
112.2,94.5,83.6,94.2
98.7,83.9,68,76.1
100.1,92.8,75.7,88.6
100.3,85.3,65.5,74.4
100.5,84.4,66.9,79.7
101.2,87.6,67.9,82.7
96,81,67.8,73
92.8,84.1,63.2,75
95.5,88.2,73.1,80
98.7,88.1,65.3,75.8
96.9,84.9,65.6,75.5
91,81.2,62.7,75.4
106.3,91.6,81.8,96.5
99.8,88.4,72.1,87.3
105,87.6,68.6,80.7
106.2,91.3,80,97.9
97.7,87.2,64.9,75.9
97.4,82.2,61.7,66
96.3,82.1,64,73.6
98,82.6,58.6,73
94.5,86.5,68.3,89.2
101.4,85.3,69.5,74.9
95.1,84.7,70.5,86.1
101.1,86.8,69.8,76.5
97.4,85.2,69,76.3
104.8,93.9,81,93.2
94.5,84.5,71,80.5
103.2,90.7,73.6,79.8
110.8,97.4,96.3,104.2
94.6,83.3,65,68.2
96.6,82.1,62.8,70.6
102.8,92.2,83,101.4
96.9,83.6,67.6,86.2
95.6,82.6,65.4,74.8
92.4,77,61.6,74
93.7,79.3,63.2,75.5
96.1,84.3,59.4,74
100.1,85.6,62.7,74
98.8,85,66.6,82
92.2,79.1,64.6,82.5
97.3,85,65.7,77.7
90.5,79,63,79.2
110.5,96.2,78.5,93.4
103,86,68.2,76.2
109,89.8,68.5,80.2
104.8,84.5,68.8,70.6
109.2,88.2,69,77.6
117,99.5,78,87.5
93.9,76.1,62,70.8
105.5,85.8,65.8,70.5
99.4,82,65,77.2
89.5,77.5,64.9,74.5
98.5,85.7,71.5,82
94.9,78.8,61.4,78.8
96.3,88,75.4,90
96.8,80.2,67.2,78.3
102.5,85.6,69.5,75.5
95.2,81.3,57.9,66.4
103,84.6,64.4,77.9
99.1,82.2,62.3,68.7
104.1,84.9,68.7,78.6
99.5,81.5,68,84.6
110.2,89.9,66,79.9
107.1,89.8,71.2,85.7
95.7,80.8,64.8,79.8
103.4,88.4,78,85.6
94.6,80.2,60.7,77
104.5,89.5,75,95
97.7,83.7,68.6,83
96.4,82.5,67.1,75
103,85.5,68,84.5
103.4,88.3,71,87.1
109.5,91.5,76,82.5
110.7,92.2,70.3,82.8
102.2,80.5,69.5,81
129.5,108,101.5,105.5
99.2,80,67.2,75.2
104.7,89.5,68.7,81
98.9,84.9,66,81
98.5,80.8,67.5,75.4
102.2,81,65.2,75.9
100.2,88.7,64.2,76.8
85.9,74.5,61,65.3
99.8,81.9,60.2,64.2
93.3,75.8,62.6,72.9
107.3,88,72.7,76.7
90,72.6,58.5,67.2
101.5,88,67.5,79.5
105.1,86,66.1,73.2
101,85.5,68,86.1
91.9,80.4,64,85
112.1,98.1,90.1,90.1
98.2,82,64.1,74.1
102.5,89,72.4,80.3
98.4,85.8,71,85
96.8,85.9,69.1,77.2
103.9,82.5,66.1,74.9
92.7,74.5,59.5,65.5
105,89.4,71.5,80.6
94,80.3,65,73.3
101.5,85.6,71.5,82
92,83,63,72
108.5,88.2,70,81.2
93.8,85.5,70.4,82.4
99.8,80.6,64.3,75
100.3,81,66,73.2
101.5,83.6,70.5,78.5
94.7,79.4,62,73
103.1,82.9,67.6,73.9
94.5,83.2,65,80.9
97.1,78.1,64,75.9
98,82.4,70.5,81.6
102.4,90,79.2,95.2
109.1,92.4,71.1,91.5
94.7,86.7,74.7,90.8
98.2,84,62.9,76.8
101.5,86,70.6,91.9
96.6,84.5,61.6,81
106.1,91.2,74.2,98.2
100.1,81.1,65.5,82.3
105.3,87.6,67.7,84.2
99.8,88.2,72.9,97.4
103.9,88.2,72.1,96.3
111,104.2,93.4,111.1
99,84.8,60.7,78
102.5,84.3,69.2,85.3
105.6,91,75.5,90.7
99.5,90.5,85.6,111.7
106.5,89.6,71.6,92.7
104.1,89.3,75.5,98.9
99.7,90,73.7,92.7
106.6,88.2,67.9,86.9
97.2,83.5,71.2,83
100.8,91,69.3,85.9
100.7,88.2,75.6,94.7
99.1,82.2,63.8,81.8
108.9,98.9,83.6,108.6
109.8,97.9,84.9,98
99.5,81.7,66,85
100.5,86.1,68.3,85.3
97.4,87.1,63.8,88.3
105,76.8,73.6,106.3
102.9,87.9,76.3,93.8
93.9,81.6,58.8,77.4
114.2,92.3,78,100.9
95.9,81.3,64.5,80.8
98.7,82.2,65.8,80.2
91.2,78.6,62.5,84.5
105.1,94.3,77.5,93.9
102.3,89.5,70,89.6
93.1,81,59.4,73.7
101.7,85.4,68.3,84
105,86.2,77.9,96
96.4,85.3,68.3,88
103.5,86.1,72,91.9
99.8,84.5,62.7,78.3
87,72.6,58,82.9
105.2,90,72.7,97.2
102.1,95.8,85.4,105.2
101.3,85.5,67.3,86.9
99.6,85.7,70.8,92.1
99.4,85.4,67.4,85.9
99.4,79.1,66,85
99,84.4,63.6,84.9
108.2,90,71.7,95.8
96.4,82.9,73.6,86.9
101.4,87.3,66.9,83.3
98.2,85.3,65.5,76.7
100.6,87.3,70.4,91.1
108.4,93.2,80.3,98
100.8,84.7,65,84.5
94.8,78,60.4,79.2
108.2,90.7,75.3,96.3
110.7,95,83.4,100.5
102.6,88.7,72.2,87.8
98.1,86.6,70.1,86.2
92,82.5,69.8,86.4
98.6,81.4,66.4,78.5
96.1,79.9,61.7,79.7
107.7,91.1,76.4,98.3
95.4,80.1,63.8,72.5
99.3,86.4,70.2,86.7
115.2,105.2,88.2,106.5
96.7,91.1,75.8,94.4
109,96.7,81.5,94.1
95.1,80.5,67.4,77.7
108.4,90.4,78.3,95.4
98.2,84.1,65.9,83.7
99.7,84.2,62.4,81.4
94.4,82.5,65.6,81.8
127.1,106.9,96.2,121.1
94.9,79.9,62.5,74
98.9,93,80.5,98.8
106.4,96.3,86.1,107.4
102.2,86.8,71.3,85.7
110.3,95.3,79.4,90.9
107.3,93,72.3,89
95,86.4,67.4,86.7
115.6,109,94.2,110.5
99.3,86.2,67,85.3
93.1,85.3,69.5,86.2
94.9,84.2,66.4,79.3
100,83.7,67.6,84.1
98.6,86.5,66.6,87.5
107.2,98.2,69.7,86
98.3,88,72,86
92.4,80.4,64.5,81.7
93,86,72.3,91.7
99.5,86.4,69.1,87.8
92.8,87.6,74.7,77
95.9,80.9,60.8,77.4
96.1,82.1,66.9,82.4
98.5,89.3,68.8,90.8
103.8,85.3,63.7,85.3
105,89,71.2,86.1
100.2,94.1,79.6,103.5
99.1,90.8,77.9,90.6
107.6,97,69.6,90.2
104,95.4,86,107.1
108.4,91.8,69.9,90.4
99.3,87.3,63.5,79.2
91.9,78.1,57.9,75.1
107.1,90.9,72.2,89.4
100.5,97.1,80.4,100.8
